"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Brood Year YYYY","First Obs Date Max","Last Obs Date Min"
"3DD.003D440A71","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/30/2022","07/04/2022"
"3DD.003D70E589","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/30/2022","07/05/2022"
"3DD.003D746C1D","LNF - Leavenworth NFH Adult Ladder","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/30/2022","07/06/2022"
"3DD.003D747CD5","LNF - Leavenworth NFH Adult Ladder","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/30/2022","07/07/2022"
"3DD.003E127868","BON","4/12/2022","1","Chinook","1","Spring","H","Hatchery Reared","2021","06/30/2022","06/30/2022"
"3DD.003D39D652","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/28/2022","07/21/2022"
"3DD.003D39E8C7","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/28/2022","07/12/2022"
"3DD.003D39FEAC","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/28/2022","06/29/2022"
"3DD.003D3A0542","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/28/2022","07/20/2022"
"3DD.003D440E36","LNF - Leavenworth NFH Adult Ladder","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/28/2022","06/30/2022"
"3DD.003D3A027A","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/27/2022","06/30/2022"
"3DD.003D440E36","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/27/2022","06/27/2022"
"3DD.003D747CD5","ICL - Lower Icicle Instream Array","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/27/2022","06/27/2022"
"3DD.0077775A87","ICL - Lower Icicle Instream Array","4/21/2016","1","Chinook","1","Spring","H","Hatchery Reared","2014","06/27/2022","06/27/2022"
"3DD.007777663A","ICL - Lower Icicle Instream Array","4/21/2016","1","Chinook","1","Spring","H","Hatchery Reared","2014","06/27/2022","06/27/2022"
"3DD.003D39E083","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/26/2022","06/26/2022"
"3DD.003D39E800","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/26/2022","07/21/2022"
"3DD.007762C1AD","ICL - Lower Icicle Instream Array","4/14/2015","1","Chinook","1","Spring","H","Hatchery Reared","2013","06/26/2022","06/26/2022"
"3DD.003C068577","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/25/2022","06/29/2022"
"3DD.003D39D02B","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/25/2022","06/28/2022"
"3DD.003D39CE91","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/23/2022","09/04/2022"
"3DD.003D39F9F4","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/23/2022","06/23/2022"
"3DD.003D749DBA","ICL - Lower Icicle Instream Array","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/23/2022","06/23/2022"
"3DD.003D39D346","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","07/06/2022"
"3DD.003D39DBD9","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/23/2022"
"3DD.003D39E056","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/24/2022"
"3DD.003D39E470","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/24/2022"
"3DD.003D39EA87","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/24/2022"
"3DD.003D39EDF7","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/24/2022"
"3DD.003D39EED4","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/27/2022"
"3DD.003D39F4EF","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/22/2022","06/24/2022"
